id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bedroom_count,bathroom_count,bed_count,true_district_Central & Western,true_district_Eastern,true_district_Islands,true_district_Kowloon City,true_district_Kwai Tsing,true_district_Kwun Tong,true_district_North,true_district_Sai Kung,true_district_Sha Tin,true_district_Sham Shui Po,true_district_Southern,true_district_Tai Po,true_district_Tsuen Wan,true_district_Tuen Mun,true_district_Wan Chai,true_district_Wong Tai Sin,true_district_Yau Tsim Mong,true_district_Yuen Long
52461084,Condo in Hong Kong,24358640,Janis,22.31644,114.16851,158.0,14,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52503169,Condo in Hong Kong,156409670,Tushita,22.31731,114.17028,650.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52521462,Rental unit in Hong Kong,142748900,Haya,22.28504,114.14894,2329.0,3,2,1,61,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52537218,Rental unit in Hong Kong,67709885,Steven,22.328352323599194,114.16725985228534,180.0,30,0,293,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52544352,Serviced apartment in Hong Kong,11171781,Hung Leung,22.27816,114.18408,800.0,1,17,6,75,17,0,0,1,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52544672,Serviced apartment in Hong Kong,11171781,Hung Leung,22.27832,114.18411,800.0,1,3,6,79,3,0,0,1,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52591548,Condo in Hong Kong,24358640,Janis,22.31792,114.16885,698.0,5,1,90,0,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52592172,Condo in Hong Kong,24358640,Janis,22.31741,114.17052,188.0,3,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52641049,Condo in Hong Kong,24358640,Janis,22.31728,114.16875,208.0,10,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52641475,Serviced apartment in Hong Kong,11171781,Hung Leung,22.27741530520072,114.18491066763151,550.0,1,1,6,358,1,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52641637,Serviced apartment in Hong Kong,11171781,Hung Leung,22.27811,114.18413,550.0,1,7,6,72,5,0,0,1,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52724302,Rental unit in Hong Kong,166183091,Pineapple,22.3045,114.17144,246.0,28,0,57,7,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52745314,Rental unit in Hong Kong,6067974,Wilson,22.27545,114.16888,900.0,30,0,62,362,0,1,0,0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52761782,Rental unit in Hong Kong,515763765,Danny,22.277227,114.175491,380.0,14,7,5,106,6,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52772049,Bed and breakfast in Hong Kong,427225605,Wun Ting,22.39556,113.97659,771.0,10,0,1,365,0,0,0,1,0,8,5.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52782926,Condo in Hong Kong,24358640,Janis,22.31579,114.1694,699.0,14,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52893051,Rental unit in Hong Kong,122251709,Teresa,22.28227,114.15237,1106.0,3,9,1,38,9,1,0,0,0,1,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52972583,Condo in Hong Kong,3285117,Juan,22.27593,114.17245,2000.0,9,11,2,20,8,1,0,0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53072311,Home in Hong Kong,25048995,Moey,22.27724,114.1808,946.0,365,2,17,177,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53088575,Serviced apartment in Hong Kong,192949681,Keke,22.238914,114.164413,760.0,20,8,2,323,4,1,0,0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53089347,Rental unit in Hong Kong,11290958,Sachin,22.28223,114.13056,971.0,2,17,1,148,12,1,0,0,0,0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
